,1st_serve,1st_serve_points_won,2nd_serve_points_won,break_points_saved,service_games_won,1st_serve_return_points_won,2nd_serve_return_points_won,break_points_converted,return_games_won,rank,height (cm),matches_played,target,aces_per_match,double_faults_per_match,break_points_opportunities_per_match,break_points_faced_per_match
102,0.63,0.69,0.52,0.64,0.78,0.27,0.5,0.4,0.21,127,183,30,0,0.9,0.3333333333333333,1.6,1.8666666666666667
103,0.63,0.72,0.52,0.65,0.82,0.24,0.51,0.38,0.18,47,188,42,0,4.142857142857143,2.0476190476190474,4.5476190476190474,4.690476190476191
104,0.6,0.72,0.51,0.59,0.79,0.32,0.5,0.47,0.27,39,193,22,0,8.590909090909092,3.727272727272727,7.0,5.954545454545454
106,0.64,0.67,0.4,0.71,0.69,0.18,0.35,0.33,0.07,137,183,17,0,0.6470588235294118,0.7058823529411765,0.35294117647058826,1.8235294117647058
107,0.6,0.74,0.54,0.71,0.84,0.17,0.49,0.35,0.08,132,191,52,0,1.1538461538461537,0.5769230769230769,0.3269230769230769,0.8076923076923077
108,0.61,0.74,0.5,0.64,0.83,0.24,0.52,0.47,0.19,96,188,56,0,0.42857142857142855,0.10714285714285714,0.3392857142857143,0.39285714285714285
109,0.62,0.71,0.49,0.68,0.78,0.28,0.48,0.41,0.22,77,188,36,0,4.555555555555555,2.6666666666666665,3.5555555555555554,4.666666666666667
110,0.56,0.73,0.51,0.64,0.79,0.28,0.48,0.45,0.21,87,191,29,0,5.344827586206897,1.9310344827586208,4.0,4.827586206896552
112,0.59,0.74,0.53,0.62,0.82,0.29,0.45,0.34,0.18,50,185,61,0,2.6721311475409837,1.3114754098360655,2.0491803278688523,1.8032786885245902
113,0.59,0.77,0.46,0.58,0.77,0.25,0.45,0.42,0.15,80,193,44,1,1.9318181818181819,0.45454545454545453,1.0227272727272727,1.6363636363636365
114,0.56,0.7,0.53,0.58,0.75,0.29,0.52,0.43,0.25,57,183,25,0,3.28,2.2,5.8,6.08
115,0.54,0.79,0.51,0.63,0.83,0.23,0.46,0.29,0.13,93,191,47,1,2.9148936170212765,1.0425531914893618,1.4680851063829787,1.5106382978723405
116,0.58,0.67,0.47,0.37,0.68,0.25,0.47,0.33,0.19,135,175,56,0,0.6785714285714286,0.30357142857142855,1.0178571428571428,0.875
119,0.58,0.75,0.49,0.58,0.77,0.29,0.5,0.36,0.22,43,191,34,0,7.764705882352941,3.323529411764706,6.882352941176471,6.205882352941177
120,0.58,0.72,0.5,0.56,0.77,0.27,0.49,0.36,0.2,59,185,30,1,3.4,2.6333333333333333,5.633333333333334,5.4
121,0.58,0.7,0.5,0.61,0.78,0.25,0.42,0.32,0.13,126,196,26,0,3.8076923076923075,2.5384615384615383,2.5384615384615383,3.576923076923077
122,0.54,0.78,0.49,0.65,0.81,0.25,0.48,0.39,0.18,53,193,41,0,6.414634146341464,3.6097560975609757,4.048780487804878,4.7560975609756095
124,0.61,0.73,0.48,0.56,0.77,0.27,0.48,0.34,0.16,54,193,39,0,6.615384615384615,2.7948717948717947,5.205128205128205,5.769230769230769
125,0.59,0.67,0.44,0.36,0.67,0.32,0.45,0.27,0.15,189,183,45,0,0.5555555555555556,0.15555555555555556,0.3333333333333333,0.3111111111111111
126,0.62,0.71,0.47,0.6,0.75,0.26,0.46,0.36,0.16,64,198,23,0,6.608695652173913,3.9130434782608696,4.478260869565218,6.173913043478261
127,0.61,0.59,0.43,0.67,0.58,0.2,0.36,0.0,0.0,227,183,28,0,0.14285714285714285,0.21428571428571427,0.14285714285714285,0.5357142857142857
